example_id,gold_answer,k0_answer,k0_correct,k0_new_anchor,k10_answer,k10_correct,k10_new_anchor,k1_answer,k1_correct,k1_new_anchor,k2_answer,k2_correct,k2_new_anchor,k3_answer,k3_correct,k3_new_anchor,k4_answer,k4_correct,k4_new_anchor,k5_answer,k5_correct,k5_new_anchor,k6_answer,k6_correct,k6_new_anchor,k7_answer,k7_correct,k7_new_anchor,k8_answer,k8_correct,k8_new_anchor,k9_answer,k9_correct,k9_new_anchor,policy
18,7,7,True,[],7,True,"["" every""]",7,True,"["">>""]",7,True,"["" =""]",7,True,"["" eat""]",7,True,"["" will""]",7,True,"["" =""]",7,True,"[""####""]",7,True,"[""1""]",7,True,"[""3""]",7,True,"["" dozen""]",greedy_ig
18,7,7,True,[],7,True,"[""7""]",6,False,"[""She""]",7,True,"["" eats""]",7,True,"[""3""]",7,True,"["" eggs""]",7,True,"["" every""]",7,True,"["" day""]",7,True,"["" and""]",7,True,"["" there""]",6,False,"["" are""]",prefix
19,6,3,False,[],6,True,"["">>""]",3,False,"["" <<""]",3,False,"[""issa""]",6,True,"["":""]",2,False,"["" <<""]",6,True,"[""=""]",6,True,"["" distance""]",6,True,"[""1""]",6,True,"[""2""]",3,False,"[""4""]",greedy_ig
19,6,3,False,[],6,True,"["" hike""]",6,True,"[""First""]",6,True,"["" figure""]",6,True,"["" out""]",6,True,"["" how""]",6,True,"["" many""]",6,True,"["" hours""]",6,True,"["" it""]",6,True,"["" takes""]",6,True,"["" to""]",prefix
20,15,18,False,[],18,False,"["" of""]",24,False,"[""After""]",14,False,"[""/""]",18,False,"[""1""]",18,False,"["" there""]",14,False,"["" =""]",14,False,"["" there""]",14,False,"[""9""]",18,False,"["" =""]",18,False,"["" +""]",greedy_ig
20,15,18,False,[],19,False,"["" <<""]",19,False,"[""There""]",3,False,"["" are""]",15,True,"[""1""]",15,True,"[""5""]",18,False,"["" x""]",18,False,"[""3""]",18,False,"[""/""]",18,False,"[""5""]",18,False,"["" =""]",prefix
21,14,2,False,[],14,True,"["" was""]",2,False,"["" <<""]",12,False,"[""1""]",12,False,"[""2""]",18,False,"[""1""]",12,False,"["" -""]",18,False,"["" =""]",12,False,"["" years""]",14,True,"[""4""]",14,True,"["" <<""]",greedy_ig
21,14,2,False,[],4,False,"[""3""]",2,False,"[""When""]",2,False,"["" Raymond""]",4,False,"[""'s""]",2,False,"["" son""]",4,False,"["" was""]",2,False,"["" born""]",2,False,"["" Samantha""]",2,False,"["" was""]",8,False,"[""2""]",prefix
22,7,7,True,[],7,True,"[""His""]",7,True,"["" =""]",7,True,"["" total""]",7,True,"["" buy""]",7,True,"["" <<""]",7,True,"[""He""]",7,True,"["">>""]",7,True,"[""1""]",7,True,"[""####""]",7,True,"[""+""]",greedy_ig
22,7,7,True,[],7,True,"["" <<""]",7,True,"[""His""]",7,True,"["" first""]",7,True,"[""3""]",7,True,"["" customers""]",7,True,"["" buy""]",7,True,"[""3""]",7,True,"["" *""]",7,True,"[""1""]",7,True,"["" =""]",prefix
23,8,8,True,[],8,True,"["",""]",8,True,"["">>""]",8,True,"[""2""]",8,True,"["" burns""]",8,True,"[""4""]",8,True,"[""1""]",8,True,"[""4""]",8,True,"[""####""]",8,True,"["" candle""]",8,True,"["" shorter""]",greedy_ig
23,8,8,True,[],8,True,"[""5""]",8,True,"[""The""]",8,True,"["" candle""]",8,True,"["" burns""]",8,True,"["" for""]",10,False,"[""5""]",8,True,"["" -""]",8,True,"[""1""]",8,True,"["" =""]",8,True,"["" <<""]",prefix
24,26,26,True,[],26,True,"["" original""]",26,True,"[""Combining""]",26,True,"[""X""]",26,True,"["" =""]",26,True,"["" both""]",26,True,"["" of""]",26,True,"["" $""]",26,True,"[""5""]",26,True,"[""Divid""]",26,True,"["".""]",greedy_ig
24,26,26,True,[],26,True,"["".""]",26,True,"[""Let""]",26,True,"["" X""]",26,True,"["" be""]",26,True,"["" the""]",26,True,"["" original""]",26,True,"["" price""]",26,True,"["" of""]",26,True,"["" the""]",26,True,"["" book""]",prefix
25,2,2,True,[],2,True,"["" the""]",2,True,"[""The""]",2,True,"["" milk""]",2,True,"["" -""]",2,True,"[""5""]",2,True,"["" of""]",2,True,"[""1""]",2,True,"["".""]",2,True,"["" of""]",2,True,"["" +""]",greedy_ig
25,2,2,True,[],2,True,"["" =""]",2,True,"[""Five""]",2,True,"["" packs""]",2,True,"["" of""]",2,True,"["" milk""]",2,True,"["" cost""]",2,True,"["" $""]",2,True,"[""3""]",2,True,"["" x""]",2,True,"[""5""]",prefix
26,243,342,False,[],224,False,"[""1""]",243,True,"["" *""]",242,False,"[""2""]",242,False,"["" $""]",244,False,"[""4""]",244,False,"[""2""]",224,False,"[""2""]",224,False,"[""3""]",224,False,"[""4""]",224,False,"[""4""]",greedy_ig
26,243,342,False,[],243,True,"[""2""]",183,False,"[""3""]",243,True,"["" *""]",243,True,"["" (""]",243,True,"[""1""]",243,True,"[""6""]",243,True,"["".""]",243,True,"[""5""]",243,True,"[""0""]",243,True,"["" +""]",prefix
27,16,16,True,[],16,True,"[""0""]",16,True,"[""/""]",16,True,"["" and""]",16,True,"["" night""]",16,True,"[""*""]",16,True,"["" has""]",16,True,"[""6""]",16,True,"["" $""]",16,True,"["" needs""]",16,True,"["" so""]",greedy_ig
27,16,16,True,[],16,True,"["" and""]",16,True,"[""Each""]",16,True,"["" container""]",16,True,"["" of""]",16,True,"["" ice""]",16,True,"["" cream""]",16,True,"["" has""]",16,True,"[""1""]",16,True,"[""5""]",16,True,"["" servings""]",prefix
28,25,25,True,[],25,True,"[""3""]",25,True,"["">>""]",25,True,"["" between""]",25,True,"[""Henry""]",25,True,"["" <<""]",25,True,"["" +""]",25,True,"[""6""]",5,False,"[""####""]",25,True,"[""5""]",25,True,"["" stops""]",greedy_ig
28,25,25,True,[],35,False,"["" =""]",25,True,"[""He""]",25,True,"["" traveled""]",35,False,"[""2""]",35,False,"[""0""]",25,True,"["" miles""]",35,False,"["" +""]",35,False,"[""1""]",35,False,"[""5""]",35,False,"["" miles""]",prefix
29,104,104,True,[],1044,False,"[""6""]",104,True,"["" than""]",104,True,"[""The""]",104,True,"["" costs""]",104,True,"[""9""]",104,True,"[""9""]",104,True,"[""3""]",104,True,"[""5""]",104,True,"[""3""]",1044,False,"[""4""]",greedy_ig
29,104,104,True,[],104,True,"[""2""]",104,True,"[""The""]",104,True,"["" second""]",104,True,"["" pair""]",104,True,"["" of""]",104,True,"["" heels""]",104,True,"["" costs""]",104,True,"[""3""]",104,True,"[""3""]",104,True,"["" *""]",prefix
30,109,79,False,[],109,True,"[""1""]",99,False,"["">>""]",99,False,"[""+""]",99,False,"["" represents""]",99,False,"[""*""]",109,True,"[""9""]",109,True,"[""9""]",109,True,"[""1""]",109,True,"[""7""]",109,True,"[""1""]",greedy_ig
30,109,79,False,[],99,False,"[""1""]",76,False,"[""The""]",99,False,"["" total""]",89,False,"["" ratio""]",99,False,"["" representing""]",99,False,"["" their""]",99,False,"["" ages""]",99,False,"["" is""]",99,False,"[""7""]",9,False,"[""+""]",prefix
31,80,80,True,[],3,False,"[""8""]",80,True,"["" because""]",3,False,"["" <<""]",3,False,"[""+(""]",3,False,"["".""]",3,False,"["" =""]",3,False,"[""1""]",3,False,"["" amount""]",3,False,"["" guessed""]",3,False,"["" amount""]",greedy_ig
31,80,80,True,[],80,True,"["" +""]",80,True,"[""The""]",80,True,"["" second""]",80,True,"["" person""]",80,True,"["" guessed""]",80,True,"[""6""]",80,True,"[""0""]",80,True,"["" because""]",80,True,"[""2""]",80,True,"[""0""]",prefix
32,35,35,True,[],35,True,"["" he""]",35,True,"["">>""]",35,True,"[""7""]",35,True,"["" spends""]",35,True,"[""5""]",35,True,"[""That""]",35,True,"[""0""]",35,True,"["" day""]",35,True,"["" means""]",35,True,"[""1""]",greedy_ig
32,35,35,True,[],35,True,"[""0""]",35,True,"[""He""]",35,True,"["" spends""]",35,True,"[""1""]",35,True,"[""0""]",35,True,"[""*.""]",35,True,"[""5""]",35,True,"[""=""]",35,True,"[""<<""]",35,True,"[""1""]",prefix
33,70,70,True,[],70,True,"["" coins""]",50,False,"[""*x""]",70,True,"[""G""]",70,True,"["" silver""]",70,True,"[""0""]",70,True,"["" x""]",70,True,"[""7""]",70,True,"[""0""]",70,True,"["" has""]",70,True,"[""0""]",greedy_ig
33,70,70,True,[],70,True,"[""chen""]",70,True,"[""Let""]",70,True,"["" x""]",70,True,"["" be""]",60,False,"["" the""]",70,True,"["" number""]",70,True,"["" of""]",60,False,"["" silver""]",65,False,"["" coins""]",70,True,"["" Gret""]",prefix
34,23,18,False,[],23,True,"["" half""]",23,True,"["" Raymond""]",23,True,"[""2""]",23,True,"[""2""]",23,True,"[""2""]",23,True,"[""2""]",23,True,"["" jewels""]",23,True,"[""'s""]",23,True,"["" jewels""]",23,True,"["",""]",greedy_ig
34,23,18,False,[],23,True,"[""2""]",23,True,"[""Half""]",23,True,"["" of""]",23,True,"["" Raymond""]",23,True,"[""'s""]",23,True,"["" jewels""]",23,True,"["" is""]",23,True,"[""4""]",23,True,"[""0""]",23,True,"[""/""]",prefix
35,9,5,False,[],9,True,"["">>""]",5,False,"[""5""]",9,True,"[""9""]",9,True,"[""4""]",9,True,"["" in""]",9,True,"[""0""]",9,True,"[""4""]",9,True,"[""9""]",9,True,"["" points""]",9,True,"[""####""]",greedy_ig
35,9,5,False,[],9,True,"[""*.""]",9,True,"[""He""]",5,False,"["" scored""]",9,True,"[""4""]",9,True,"[""*.""]",9,True,"[""2""]",5,False,"[""5""]",9,True,"[""=""]",9,True,"[""<<""]",9,True,"[""4""]",prefix
36,75,75,True,[],75,True,"[""2""]",75,True,"["" needs""]",75,True,"["" <<""]",75,True,"[""5""]",75,True,"[""6""]",75,True,"["".""]",75,True,"[""5""]",75,True,"[""4""]",75,True,"[""3""]",75,True,"[""2""]",greedy_ig
36,75,75,True,[],75,True,"["" over""]",75,True,"[""He""]",125,False,"["" eats""]",75,True,"[""2""]",75,True,"["" yog""]",75,True,"[""ur""]",125,False,"[""ts""]",75,True,"["" a""]",75,True,"["" day""]",75,True,"["" so""]",prefix
37,2,2,True,[],7,False,"[""1""]",2,True,"[""He""]",2,True,"["" =""]",2,True,"["" =""]",2,True,"[""5""]",2,True,"[""1""]",2,True,"[""5""]",1,False,"[""1""]",1,False,"[""1""]",7,False,"[""1""]",greedy_ig
37,2,2,True,[],4,False,"["" because""]",2,True,"[""He""]",11,False,"["" spent""]",2,True,"["" $""]",15,False,"[""1""]",4,False,"[""6""]",11,False,"[""0""]",4,False,"["" on""]",11,False,"["" video""]",4,False,"["" games""]",prefix
38,10,10,True,[],5,False,"[""6""]",12,False,"[""=""]",7,False,"[""6""]",10,True,"["" runs""]",5,False,"["" running""]",10,True,"[""6""]",10,True,"["".""]",10,True,"[""He""]",5,False,"["".""]",5,False,"[""2""]",greedy_ig
38,10,10,True,[],0,False,"[""1""]",3,False,"[""He""]",10,True,"["" has""]",10,True,"[""7""]",4,False,"[""-""]",6,False,"[""1""]",6,False,"[""=""]",5,False,"[""<<""]",10,True,"[""7""]",10,True,"[""-""]",prefix
39,18,16,False,[],6,False,"["" Dana""]",12,False,"["" two""]",18,True,"[""6""]",16,False,"["" can""]",16,False,"["" per""]",48,False,"["" she""]",16,False,"["" the""]",42,False,"[""4""]",6,False,"[""6""]",6,False,"["" of""]",greedy_ig
39,18,16,False,[],24,False,"["" can""]",36,False,"[""If""]",24,False,"["" Dana""]",48,False,"["" can""]",24,False,"["" skip""]",36,False,"["" at""]",12,False,"["" half""]",36,False,"["" the""]",20,False,"["" speed""]",14,False,"["" she""]",prefix
40,8,8,True,[],8,True,"["" <<""]",8,True,"["">>""]",8,True,"[""####""]",8,True,"[""2""]",8,True,"["" =""]",8,True,"[""4""]",8,True,"[""’s""]",8,True,"[""2""]",8,True,"["" old""]",8,True,"[""8""]",greedy_ig
40,8,8,True,[],8,True,"[""1""]",8,True,"[""Ben""]",8,True,"[""’s""]",8,True,"["" iPhone""]",8,True,"["" is""]",8,True,"[""1""]",8,True,"[""*""]",8,True,"[""2""]",8,True,"["" =""]",8,True,"["" <<""]",prefix
41,200,200,True,[],200,True,"["" could""]",200,True,"[""<<""]",200,True,"["" is""]",200,True,"[""2""]",200,True,"["" than""]",200,True,"["" of""]",200,True,"[""0""]",200,True,"[""3""]",200,True,"["".""]",200,True,"[""0""]",greedy_ig
41,200,200,True,[],200,True,"["" j""]",200,True,"[""With""]",200,True,"["" the""]",200,True,"["" gem""]",200,True,"[""stone""]",200,True,"["",""]",200,True,"["" Polly""]",200,True,"["" could""]",200,True,"["" throw""]",200,True,"["" the""]",prefix
42,26,26,True,[],26,True,"["".""]",26,True,"[""If""]",26,True,"["" pie""]",26,True,"["" each""]",26,True,"[""4""]",26,True,"[""2""]",26,True,"["",""]",26,True,"[""5""]",26,True,"[""4""]",26,True,"["" of""]",greedy_ig
42,26,26,True,[],26,True,"["",""]",2,False,"[""To""]",26,True,"["" start""]",26,True,"["" the""]",26,True,"["" evening""]",26,True,"["",""]",26,True,"["" there""]",26,True,"["" were""]",26,True,"[""5""]",26,True,"["" pies""]",prefix
43,48,60,False,[],400,False,"["" of""]",240,False,"["" serving""]",240,False,"["" calorie""]",240,False,"[""0""]",480,False,"[""0""]",120,False,"["" have""]",480,False,"[""0""]",480,False,"["" target""]",120,False,"[""2""]",120,False,"[""0""]",greedy_ig
43,48,60,False,[],60,False,"[""0""]",80,False,"[""If""]",40,False,"["" the""]",60,False,"["" total""]",60,False,"["" calorie""]",60,False,"["" target""]",60,False,"["" is""]",60,False,"[""2""]",60,False,"[""0""]",60,False,"[""0""]",prefix
44,20,20,True,[],20,True,"["" and""]",20,True,"["" =""]",20,True,"["" the""]",20,True,"["" $""]",20,True,"[""2""]",20,True,"[""/""]",20,True,"["".""]",20,True,"[""2""]",20,True,"[""0""]",20,True,"[""2""]",greedy_ig
44,20,20,True,[],20,True,"["" make""]",20,True,"[""1""]",20,True,"["" pound""]",20,True,"["" of""]",20,True,"["" bees""]",20,True,"[""wax""]",20,True,"["" and""]",20,True,"["" the""]",20,True,"["" w""]",20,True,"[""ick""]",prefix
45,104,84,False,[],84,False,"["" she""]",94,False,"["" +""]",94,False,"["".""]",96,False,"["" wrote""]",84,False,"[""4""]",84,False,"[""7""]",84,False,"["" articles""]",84,False,"[""4""]",84,False,"["" she""]",84,False,"["" wrote""]",greedy_ig
45,104,84,False,[],84,False,"["" on""]",88,False,"[""If""]",64,False,"["" she""]",60,False,"["" wrote""]",94,False,"["" five""]",94,False,"["" articles""]",84,False,"["" on""]",98,False,"["" Monday""]",94,False,"["",""]",60,False,"["" then""]",prefix
46,163,263,False,[],180,False,"["" that""]",277,False,"[""8""]",277,False,"[""2""]",227,False,"[""0""]",117,False,"["" she""]",183,False,"[""8""]",187,False,"[""0""]",187,False,"[""0""]",77,False,"[""2""]",180,False,"[""0""]",greedy_ig
46,163,263,False,[],163,True,"[""-it""]",163,True,"[""Let""]",47,False,"[""'s""]",3,False,"["" let""]",63,False,"["" x""]",163,True,"["" be""]",163,True,"["" the""]",243,False,"["" number""]",63,False,"["" of""]",163,True,"["" post""]",prefix
47,800,800,True,[],600,False,"[""6""]",800,True,"["" than""]",600,False,"["" *""]",600,False,"[""So""]",600,False,"[""0""]",600,False,"["" each""]",600,False,"["" =""]",600,False,"[""2""]",600,False,"[""5""]",600,False,"["" more""]",greedy_ig
47,800,800,True,[],800,True,"["" <<""]",800,True,"[""He""]",800,True,"["" bought""]",800,True,"[""2""]",800,True,"[""0""]",800,True,"[""0""]",800,True,"["" /""]",800,True,"[""4""]",800,True,"[""0""]",800,True,"["" =""]",prefix
48,8,8,True,[],8,True,"["" total""]",8,True,"[""<<""]",8,True,"["" equal""]",8,True,"["",""]",8,True,"[""If""]",8,True,"["".""]",8,True,"[""=""]",8,True,"[""2""]",8,True,"[""<<""]",8,True,"["" pieces""]",greedy_ig
48,8,8,True,[],8,True,"["" long""]",8,True,"[""If""]",8,True,"["" Tracy""]",8,True,"["" used""]",8,True,"["" a""]",8,True,"["" piece""]",8,True,"["" of""]",8,True,"["" wire""]",8,True,"[""4""]",8,True,"["" feet""]",prefix
49,30,30,True,[],30,True,"["" the""]",30,True,"["" number""]",30,True,"["" of""]",30,True,"[""2""]",30,True,"["">>""]",30,True,"["" units""]",30,True,"["" -""]",30,True,"["" occupied""]",30,True,"[""0""]",30,True,"[""####""]",greedy_ig
49,30,30,True,[],30,True,"["" be""]",30,True,"[""The""]",30,True,"["" total""]",30,True,"["" number""]",30,True,"["" of""]",30,True,"["" units""]",30,True,"["" in""]",30,True,"["" the""]",30,True,"["" building""]",30,True,"["" will""]",prefix
50,294,284,False,[],292,False,"["".""]",284,False,"[""There""]",294,True,"[""1""]",294,True,"[""7""]",294,True,"[""2""]",294,True,"[""1""]",292,False,"[""2""]",292,False,"["" of""]",292,False,"[""2""]",292,False,"[""2""]",greedy_ig
50,294,284,False,[],378,False,"[""2""]",288,False,"[""In""]",288,False,"["" a""]",394,False,"["" week""]",394,False,"["",""]",228,False,"["" Lloyd""]",288,False,"[""'s""]",288,False,"["" egg""]",308,False,"["" farm""]",308,False,"["" produces""]",prefix
51,5,5,True,[],5,True,"[""*""]",5,True,"["">>""]",5,True,"[""/""]",5,True,"["" for""]",5,True,"["" went""]",5,True,"["" full""]",5,True,"["" means""]",5,True,"[""0""]",5,True,"["" was""]",5,True,"["" it""]",greedy_ig
51,5,5,True,[],5,True,"[""1""]",5,True,"[""He""]",5,True,"["" was""]",5,True,"["" travelling""]",5,True,"["" at""]",5,True,"["" full""]",5,True,"["" speed""]",5,True,"["" for""]",5,True,"[""4""]",5,True,"[""-""]",prefix
